Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality,Acres_seeded
Corn,Loamy,6.5,29.3614153,70.6385847,8.974931103,84,66,50,5.562150193,66.66666667,68
Barley,Sandy,6.75,29.86350894,70.13649106,14.53165769,50,40,30,0.704089603,35,63
Soybean,Clay,6.25,16.31172993,80,9.30319086,54,50,44,39.09720757,43.16666667,9
Corn,Loamy,6.5,22.41135544,77.58864456,9.162344357,84,66,50,72.32992281,66.66666667,2
Rice,Sandy,6.75,29.26695886,70.73304114,6.192289475,65,48,33,37.32617047,42.58333333,27
Soybean,Clay,6.25,21.95107899,78.04892101,7.778998396,54,50,44,47.43115972,43.16666667,35
Rice,Sandy,6.75,23.42177042,76.57822958,11.88362518,65,48,33,54.79729501,42.58333333,14
Barley,Clay,6.25,24.78504271,75.21495729,15.42474634,60,50,40,38.65135772,43.75,91
Soybean,Peaty,5.5,19.91769217,80,9.243825915,49.5,45,38.5,60.95619556,22.16666667,84
Barley,Clay,6.25,27.45332101,72.54667899,7.951748681,60,50,40,19.17734446,43.75,41
Soybean,Loamy,6.5,26.15097901,73.84902099,10.63018099,63,60,55,30.6313298,59.33333333,20
Corn,Peaty,5.5,14.26585671,80,8.15125056,66,49.5,35,27.18307075,25.08333333,97
Rice,Sandy,6.75,23.40913216,76.59086784,14.55575388,65,48,33,44.91547764,42.58333333,23
Barley,Loamy,6.5,23.83456654,76.16543346,4.478220564,70,60,50,66.70880006,60,54
Soybean,Loamy,6.5,22.40841825,77.59158175,12.46618056,63,60,55,64.59224848,59.33333333,2
Corn,Peaty,5.5,16.01748477,80,7.526188583,66,49.5,35,41.90612985,25.08333333,78
Barley,Peaty,5.5,28.76980818,71.23019182,9.459881285,55,45,35,6.240478328,22.5,90
Soybean,Sandy,6.75,24.46566215,75.53433785,8.005016638,45,40,33,31.15672968,34.41666667,74
Rice,Sandy,6.75,28.34780864,71.65219136,7.659931417,65,48,33,49.21811965,42.58333333,51
Barley,Loamy,6.5,25.80199628,74.19800372,7.823379456,70,60,50,41.52115285,60,100
Corn,Loamy,6.5,23.37589879,76.62410121,10.54735444,84,66,50,70.16891368,66.66666667,43
Corn,Clay,6.25,20.66943995,79.33056005,14.50997176,72,55,40,73.10552684,48.70833333,26
Barley,Loamy,6.5,22.91427357,77.08572643,8.149361581,70,60,50,65.18918055,60,25
Barley,Sandy,6.75,23.96764024,76.03235976,8.039643937,50,40,30,40.66546577,35,60
Corn,Clay,6.25,27.71282264,72.28717736,9.45232682,72,55,40,16.03964166,48.70833333,51
Corn,Loamy,6.5,22.26924309,77.73075691,7.778240055,84,66,50,72.56264078,66.66666667,63
Barley,Loamy,6.5,23.92233074,76.07766926,5.813043175,70,60,50,54.84313421,60,18
Soybean,Clay,6.25,23.10838455,76.89161545,17.51047219,54,50,44,47.24266286,43.16666667,83
Corn,Clay,6.25,25.17261425,74.82738575,12.87283428,72,55,40,43.18792838,48.70833333,100
Rice,Clay,6.25,25.34478374,74.65521626,6.095208732,78,60,44,89.96598949,53.08333333,38
Barley,Clay,6.25,24.69797067,75.30202933,6.777848014,60,50,40,42.16795728,43.75,87
Soybean,Peaty,5.5,19.75015114,80,9.409121932,49.5,45,38.5,53.92813169,22.16666667,93
Corn,Clay,6.25,24.62131517,75.37868483,9.325711005,72,55,40,44.84320019,48.70833333,12
Rice,Peaty,5.5,21.564406,78.435594,9.896402498,71.5,54,38.5,45.83393262,27.33333333,36
Barley,Clay,6.25,28.89726771,71.10273229,11.27481048,60,50,40,7.959361144,43.75,5
Soybean,Sandy,6.75,25.26092076,74.73907924,13.24998353,45,40,33,26.36782781,34.41666667,64
Barley,Sandy,6.75,28.52415817,71.47584183,8.570420846,50,40,30,7.38533517,35,55
Soybean,Loamy,6.5,21.78024265,78.21975735,8.162639779,63,60,55,70.84065052,59.33333333,82
Corn,Sandy,6.75,24.17543496,75.82456504,5.196643516,60,44,30,33.18357254,39.08333333,43
Barley,Loamy,6.5,27.02802804,72.97197196,9.313362118,70,60,50,26.78216955,60,48
Soybean,Loamy,6.5,23.19616078,76.80383922,11.52580718,63,60,55,54.14465884,59.33333333,91
Corn,Loamy,6.5,19.82916297,80,7.738710696,84,66,50,97.96491511,66.66666667,93
Rice,Loamy,6.5,25.84434699,74.15565301,8.992225902,91,72,55,95.46251644,72.66666667,23
Barley,Loamy,6.5,19.32747697,80,16.0745401,70,60,50,93.93628003,60,7
Soybean,Loamy,6.5,28.27395315,71.72604685,11.64087544,63,60,55,14.36667725,59.33333333,61
Corn,Loamy,6.5,25.87902817,74.12097183,6.311197055,84,66,50,43.6738805,66.66666667,54
Rice,Loamy,6.5,23.45569503,76.54430497,8.225055924,91,72,55,95.57523117,72.66666667,10
Barley,Peaty,5.5,22.12090888,77.87909112,6.012340161,55,45,35,49.29393594,22.5,53
Soybean,Clay,6.25,11.60321386,80,14.07013627,54,50,44,11.40486401,43.16666667,61
Barley,Loamy,6.5,17.89205705,80,8.482390682,70,60,50,79.83438589,60,76
Soybean,Loamy,6.5,21.37698131,78.62301869,11.25702832,63,60,55,86.57182654,59.33333333,100
Corn,Peaty,5.5,23.27116061,76.72883939,7.257831273,66,49.5,35,39.55296536,25.08333333,55
Barley,Sandy,6.75,29.71344927,70.28655073,12.7508367,50,40,30,1.786878818,35,95
Soybean,Loamy,6.5,26.48049614,73.51950386,7.900122434,63,60,55,28.85018981,59.33333333,26
Corn,Loamy,6.5,21.4924643,78.5075357,11.92267279,84,66,50,79.75187575,66.66666667,41
Rice,Peaty,5.5,23.58917486,76.41082514,6.279901166,71.5,54,38.5,50.87734043,27.33333333,31
Barley,Peaty,5.5,19.48036355,80,9.670778436,55,45,35,49.77312888,22.5,88
Corn,Loamy,6.5,26.10983987,73.89016013,7.754240117,84,66,50,38.04102982,66.66666667,60
Barley,Loamy,6.5,28.73326127,71.26673873,6.925252544,70,60,50,11.62510511,60,59
Soybean,Loamy,6.5,26.51677626,73.48322374,6.715582068,63,60,55,28.61703626,59.33333333,32
Rice,Sandy,6.75,21.5807001,78.4192999,15.4672216,65,48,33,45.13302649,42.58333333,55
Barley,Peaty,5.5,16.7110946,80,10.38713696,55,45,35,38.11813772,22.5,40
Soybean,Peaty,5.5,17.13414675,80,7.054848764,49.5,45,38.5,34.62842653,22.16666667,94
Rice,Clay,6.25,25.21181189,74.78818811,10.42968829,78,60,44,75.08793049,53.08333333,16
Soybean,Loamy,6.5,26.37846191,73.62153809,11.64964811,63,60,55,29.28340852,59.33333333,89
Rice,Clay,6.25,21.50729557,78.49270443,7.547436728,78,60,44,63.78039639,53.08333333,42
Soybean,Clay,6.25,25.74520135,74.25479865,9.433403226,54,50,44,28.6436,43.16666667,40
Corn,Peaty,5.5,27.98595507,72.01404493,10.53351095,66,49.5,35,12.01878636,25.08333333,55
Soybean,Clay,6.25,26.1221888,73.8778112,12.81727672,54,50,44,24.30780686,43.16666667,78
Corn,Loamy,6.5,23.90808436,76.09191564,9.43751024,84,66,50,64.07903905,66.66666667,49
Rice,Loamy,6.5,31.11729172,68.88270828,7.43747602,91,72,55,39.43520229,72.66666667,34
Barley,Clay,6.25,21.96621677,78.03378323,6.539510251,60,50,40,68.44997212,43.75,56
Corn,Peaty,5.5,28.54150892,71.45849108,6.236664798,66,49.5,35,8.835037362,25.08333333,35
Barley,Loamy,6.5,25.83602116,74.16397884,14.63217745,70,60,50,39.2217034,60,92
Soybean,Sandy,6.75,28.10690772,71.89309228,11.12747091,45,40,33,9.644760549,34.41666667,54
Soybean,Clay,6.25,21.24318127,78.75681873,9.401266394,54,50,44,64.18303647,43.16666667,95
Corn,Loamy,6.5,23.51402933,76.48597067,13.9079629,84,66,50,69.89644934,66.66666667,85
Barley,Sandy,6.75,22.80685843,77.19314157,15.75876149,50,40,30,39.92807971,35,95
Soybean,Clay,6.25,26.40942235,73.59057765,12.89211639,54,50,44,19.226727,43.16666667,77
Rice,Peaty,5.5,30.35371389,69.64628611,10.43369183,71.5,54,38.5,29.8298977,27.33333333,29
Barley,Loamy,6.5,22.42630534,77.57369466,14.88791268,70,60,50,69.202728,60,69
Corn,Sandy,6.75,29.5079804,70.4920196,8.522194256,60,44,30,2.61348063,39.08333333,11
Barley,Clay,6.25,23.07843772,76.92156228,7.829674946,60,50,40,49.34605071,43.75,74
Rice,Peaty,5.5,27.31567713,72.68432287,7.55777277,71.5,54,38.5,41.79426186,27.33333333,9
Barley,Sandy,6.75,26.8195019,73.1804981,11.2274361,50,40,30,19.60849674,35,22
Soybean,Sandy,6.75,25.72766466,74.27233534,13.64826747,45,40,33,24.82139103,34.41666667,94
Corn,Clay,6.25,22.18628844,77.81371156,6.62413105,72,55,40,59.73704499,48.70833333,7
Rice,Peaty,5.5,21.13808071,78.86191929,16.42778844,71.5,54,38.5,39.74029258,27.33333333,19
Barley,Sandy,6.75,25.43910133,74.56089867,7.463080651,50,40,30,26.2814647,35,57
Soybean,Peaty,5.5,25.91688489,74.08311511,14.60421623,49.5,45,38.5,25.29801632,22.16666667,61
Corn,Sandy,6.75,12.23339444,80,8.541942478,60,44,30,13.73240755,39.08333333,98
Rice,Clay,6.25,21.15552022,78.84447978,5.172828998,78,60,44,55.23687863,53.08333333,14
Corn,Sandy,6.75,25.35729803,74.64270197,13.07405495,60,44,30,30.80600575,39.08333333,74
Corn,Peaty,5.5,27.28505743,72.71494257,4.244188676,66,49.5,35,15.68032674,25.08333333,31
Rice,Loamy,6.5,18.99190896,80,7.441911573,91,72,55,42.19092628,72.66666667,28
Barley,Clay,6.25,25.51233589,74.48766411,6.775179841,60,50,40,32.74451397,43.75,13
Soybean,Clay,6.25,25.647169,74.352831,17.02195801,54,50,44,30.64347418,43.16666667,93
Barley,Clay,6.25,10.50482253,80,11.99538047,60,50,40,3.166098815,43.75,37
Soybean,Peaty,5.5,16.66198339,80,9.632974763,49.5,45,38.5,30.35980202,22.16666667,21
Corn,Loamy,6.5,17.71191472,80,9.000903295,84,66,50,67.33425323,66.66666667,11
Rice,Peaty,5.5,25.84983776,74.15016224,9.899163345,71.5,54,38.5,61.81396327,27.33333333,43
Barley,Clay,6.25,27.84159133,72.15840867,4.410124285,60,50,40,15.87860941,43.75,95
Soybean,Peaty,5.5,12.9344129,80,8.149327193,49.5,45,38.5,15.90830472,22.16666667,16
Corn,Loamy,6.5,22.03900095,77.96099905,14.56439222,84,66,50,71.55718866,66.66666667,19
Barley,Sandy,6.75,17.72230022,80,8.637925971,50,40,30,49.23021233,35,48
Soybean,Sandy,6.75,18.55890942,80,13.46823008,45,40,33,50.748041,34.41666667,22
Barley,Clay,6.25,19.15145398,80,5.504945812,60,50,40,74.87175039,43.75,9
Soybean,Clay,6.25,24.47643194,75.52356806,7.337113467,54,50,44,39.99051346,43.16666667,24
Corn,Peaty,5.5,19.50345347,80,4.957893805,66,49.5,35,61.36495578,25.08333333,98
Rice,Clay,6.25,28.90127122,71.09872878,11.30626231,78,60,44,42.68772237,53.08333333,5
Barley,Clay,6.25,26.49368155,73.50631845,8.337452716,60,50,40,21.78825566,43.75,34
Soybean,Sandy,6.75,24.5387291,75.4612709,9.649912556,45,40,33,30.98952671,34.41666667,80
Corn,Loamy,6.5,15.84390726,80,7.85745755,84,66,50,59.23034581,66.66666667,92
Rice,Loamy,6.5,28.71262537,71.28737463,7.626690128,91,72,55,62.90119053,72.66666667,45
Barley,Sandy,6.75,25.69593582,74.30406418,5.404677037,50,40,30,21.7611352,35,36
Corn,Clay,6.25,13.3526167,80,16.04088469,72,55,40,25.2444331,48.70833333,29
Rice,Peaty,5.5,28.83101531,71.16898469,7.378083259,71.5,54,38.5,30.96846783,27.33333333,40
Barley,Peaty,5.5,20.25766466,79.74233534,13.02566384,55,45,35,49.40169961,22.5,36
Soybean,Loamy,6.5,20.61501847,79.38498153,12.06707215,63,60,55,81.62818811,59.33333333,40
Corn,Clay,6.25,24.80400565,75.19599435,12.51812586,72,55,40,43.12625451,48.70833333,32
Barley,Peaty,5.5,18.97383444,80,12.7056865,55,45,35,54.49274975,22.5,55
Soybean,Clay,6.25,23.87180093,76.12819907,5.109613908,54,50,44,44.92447004,43.16666667,61
Soybean,Sandy,6.75,23.49722119,76.50277881,10.49182684,45,40,33,29.54202888,34.41666667,65
Corn,Loamy,6.5,27.42282227,72.57717773,8.930713868,84,66,50,22.48460333,66.66666667,60
Barley,Loamy,6.5,22.66683823,77.33316177,16.0752019,70,60,50,70.5025892,60,63
Soybean,Sandy,6.75,25.04060892,74.95939108,13.65353015,45,40,33,24.97885887,34.41666667,32
Rice,Loamy,6.5,23.35529439,76.64470561,7.442136382,91,72,55,93.08111626,72.66666667,5
Corn,Loamy,6.5,21.24930437,78.75069563,12.05216102,84,66,50,89.99448814,66.66666667,46
Rice,Clay,6.25,24.22368081,75.77631919,9.844699037,78,60,44,69.92405142,53.08333333,31
Soybean,Clay,6.25,28.08488129,71.91511871,11.92922639,54,50,44,16.74649551,43.16666667,49
Barley,Sandy,6.75,27.09990279,72.90009721,10.21857457,50,40,30,17.93356456,35,72
Soybean,Clay,6.25,29.28329244,70.71670756,9.483888933,54,50,44,4.894439533,43.16666667,78
Corn,Clay,6.25,23.88649609,76.11350391,15.10150716,72,55,40,52.28148974,48.70833333,5
Barley,Loamy,6.5,26.00750409,73.99249591,14.16572189,70,60,50,34.31651772,60,63
Soybean,Clay,6.25,23.34678592,76.65321408,10.7037691,54,50,44,45.55399521,43.16666667,50
Rice,Sandy,6.75,29.61429261,70.38570739,7.68100065,65,48,33,34.90483746,42.58333333,8
Barley,Sandy,6.75,22.67478917,77.32521083,13.16130864,50,40,30,42.83606862,35,85
Soybean,Clay,6.25,25.1305964,74.8694036,12.56138394,54,50,44,42.97486566,43.16666667,94
Corn,Sandy,6.75,25.55565575,74.44434425,13.1061415,60,44,30,26.85547266,39.08333333,40
Barley,Peaty,5.5,22.09844623,77.90155377,13.22448206,55,45,35,41.47477802,22.5,1
Barley,Peaty,5.5,17.76673959,80,8.056537831,55,45,35,44.91487533,22.5,59
Soybean,Loamy,6.5,14.89760171,80,7.869622055,63,60,55,45.42769106,59.33333333,46
Corn,Sandy,6.75,22.86599447,77.13400553,11.89995987,60,44,30,46.14357328,39.08333333,73
Soybean,Loamy,6.5,20.44727987,79.55272013,10.77763023,63,60,55,60.82109091,59.33333333,87
Corn,Loamy,6.5,24.0210721,75.9789279,6.375044502,84,66,50,63.92715552,66.66666667,13
Soybean,Peaty,5.5,27.7632785,72.2367215,5.749668719,49.5,45,38.5,11.53297756,22.16666667,69
Soybean,Sandy,6.75,26.00251775,73.99748225,9.808702377,45,40,33,19.89069375,34.41666667,46
Corn,Peaty,5.5,18.468458,80,9.207306587,66,49.5,35,58.14057315,25.08333333,70
Barley,Peaty,5.5,27.79428515,72.20571485,9.097203624,55,45,35,12.83897988,22.5,94
Barley,Peaty,5.5,29.24606468,70.75393532,10.63068614,55,45,35,3.425969398,22.5,41
Barley,Sandy,6.75,29.99851851,70.00148149,11.42371147,50,40,30,0.008532342,35,38
Barley,Sandy,6.75,25.9453264,74.0546736,9.874395822,50,40,30,24.67212551,35,98
Soybean,Sandy,6.75,27.01703608,72.98296392,7.526000261,45,40,33,14.15756245,34.41666667,96
Rice,Clay,6.25,29.09101516,70.90898484,9.604053841,78,60,44,44.83322699,53.08333333,31
Barley,Peaty,5.5,29.90753545,70.09246455,10.37162322,55,45,35,0.559223831,22.5,22
Soybean,Clay,6.25,23.69668854,76.30331146,7.407291561,54,50,44,47.33052406,43.16666667,12
Corn,Sandy,6.75,28.29222031,71.70777969,10.83655059,60,44,30,9.795213891,39.08333333,95
Corn,Sandy,6.75,19.6589027,80,4.893179411,60,44,30,55.96617795,39.08333333,88
Corn,Sandy,6.75,28.32392436,71.67607564,12.41559554,60,44,30,9.216786841,39.08333333,38
Corn,Clay,6.25,29.09701172,70.90298828,7.376789947,72,55,40,7.312462328,48.70833333,27
Corn,Loamy,6.5,28.54412294,71.45587706,7.303922287,84,66,50,14.5348118,66.66666667,23
Soybean,Peaty,5.5,26.76049559,73.23950441,9.946827838,49.5,45,38.5,13.26332679,22.16666667,60
Barley,Loamy,6.5,26.80589358,73.19410642,16.18842196,70,60,50,29.34992185,60,96
Rice,Peaty,5.5,26.24801423,73.75198577,3.44698119,71.5,54,38.5,57.1748758,27.33333333,1
Barley,Sandy,6.75,28.36211395,71.63788605,12.39387344,50,40,30,9.1577985,35,45
Barley,Clay,6.25,29.11186265,70.88813735,12.75791917,60,50,40,5.878405019,43.75,93
Corn,Peaty,5.5,29.07600769,70.92399231,7.432107478,66,49.5,35,5.125239301,25.08333333,64
Barley,Peaty,5.5,28.92041655,71.07958345,12.18339665,55,45,35,5.594370147,22.5,39
Soybean,Sandy,6.75,29.93779272,70.06220728,10.18172682,45,40,33,0.304217585,34.41666667,90
Barley,Peaty,5.5,20.4592856,79.5407144,12.44168965,55,45,35,52.00905345,22.5,51
Corn,Clay,6.25,26.68348063,73.31651937,10.98998549,72,55,40,26.96112295,48.70833333,60
Corn,Loamy,6.5,29.56083935,70.43916065,16.13809756,84,66,50,3.98159763,66.66666667,92
Corn,Loamy,6.5,26.63410647,73.36589353,11.15005349,84,66,50,36.70323156,66.66666667,10
Soybean,Loamy,6.5,29.70418212,70.29581788,12.44213609,63,60,55,2.391252777,59.33333333,54
Rice,Loamy,6.5,30.08662314,69.91337686,9.850075576,91,72,55,51.09429241,72.66666667,35
Soybean,Clay,6.25,24.95252556,75.04747444,13.64998529,54,50,44,40.7765588,43.16666667,85
Rice,Peaty,5.5,31.59667798,68.40332202,9.281234728,71.5,54,38.5,18.52612532,27.33333333,44
Barley,Loamy,6.5,25.25524547,74.74475453,8.292931921,70,60,50,43.03490078,60,7
Rice,Peaty,5.5,28.45363141,71.54636859,7.13298799,71.5,54,38.5,40.10693268,27.33333333,8
Barley,Peaty,5.5,26.98282534,73.01717466,8.50151562,55,45,35,15.46059779,22.5,33
Soybean,Sandy,6.75,27.66137653,72.33862347,9.44287128,45,40,33,11.97873621,34.41666667,30
Corn,Peaty,5.5,26.31839022,73.68160978,13.46124327,66,49.5,35,22.06139891,25.08333333,30
Barley,Loamy,6.5,28.02215143,71.97784857,6.900013083,70,60,50,16.05640138,60,82
Barley,Loamy,6.5,29.58755162,70.41244838,13.8501072,70,60,50,3.183515324,60,55
Corn,Clay,6.25,25.39510145,74.60489855,10.89410382,72,55,40,35.50058236,48.70833333,94
Barley,Clay,6.25,27.91081549,72.08918451,4.722892203,60,50,40,13.69372305,43.75,43
Soybean,Sandy,6.75,29.29113113,70.70886887,11.58107674,45,40,33,3.648038484,34.41666667,70
Rice,Sandy,6.75,30.76029794,69.23970206,11.43223092,65,48,33,23.91197629,42.58333333,7
Soybean,Loamy,6.5,29.52612017,70.47387983,8.68556679,63,60,55,5.313022586,59.33333333,28
Barley,Clay,6.25,29.29171821,70.70828179,15.26073702,60,50,40,4.520729365,43.75,16
Corn,Sandy,6.75,18.02975158,80,11.85113456,60,44,30,55.71896285,39.08333333,45
Barley,Peaty,5.5,25.39067965,74.60932035,7.416677664,55,45,35,26.18648182,22.5,55
Soybean,Peaty,5.5,15.7750044,80,8.930277979,49.5,45,38.5,32.84344406,22.16666667,25
Rice,Sandy,6.75,23.78357948,76.21642052,6.972224858,65,48,33,63.48945125,42.58333333,45
Barley,Sandy,6.75,22.66603296,77.33396704,11.11934603,50,40,30,39.95975264,35,73
Rice,Peaty,5.5,27.12709032,72.87290968,10.64681028,71.5,54,38.5,53.34051899,27.33333333,14
Barley,Clay,6.25,21.16140672,78.83859328,9.033813364,60,50,40,56.59593531,43.75,76
Soybean,Loamy,6.5,14.39586487,80,9.885898899,63,60,55,35.7851462,59.33333333,65
Corn,Peaty,5.5,15.33064612,80,9.117034465,66,49.5,35,30.49340103,25.08333333,71
Barley,Peaty,5.5,16.21271598,80,9.479721236,55,45,35,36.60506457,22.5,27
Soybean,Peaty,5.5,15.96594981,80,12.70770388,49.5,45,38.5,29.97790713,22.16666667,11
Corn,Clay,6.25,17.46479445,80,9.509922088,72,55,40,56.52604566,48.70833333,27
Rice,Peaty,5.5,18.54797611,80,4.484500917,71.5,54,38.5,27.80797385,27.33333333,41
Barley,Clay,6.25,13.20958085,80,11.90360657,60,50,40,22.48009713,43.75,33
Corn,Peaty,5.5,22.26256952,77.73743048,12.7914493,66,49.5,35,40.47838678,25.08333333,43
Barley,Sandy,6.75,22.32130298,77.67869702,4.733173404,50,40,30,39.03068401,35,5
Soybean,Sandy,6.75,15.36179071,80,8.137975357,45,40,33,31.61790829,34.41666667,22
Barley,Sandy,6.75,19.20004762,80,13.75290904,50,40,30,57.70351164,35,77
Soybean,Sandy,6.75,21.2575895,78.7424105,8.503047542,45,40,33,46.04836256,34.41666667,4
Corn,Loamy,6.5,23.01927904,76.98072096,6.189728494,84,66,50,60.37879039,66.66666667,71
Barley,Sandy,6.75,18.02133344,80,7.842764757,50,40,30,41.31047374,35,4
Corn,Peaty,5.5,18.96360914,80,12.38880144,66,49.5,35,47.81001129,25.08333333,23
Barley,Loamy,6.5,19.81088652,80,14.5449704,70,60,50,67.98954964,60,9
Soybean,Sandy,6.75,18.80039598,80,6.97218908,45,40,33,35.56390496,34.41666667,8
Rice,Peaty,5.5,19.92528317,80,5.097402135,71.5,54,38.5,26.28548842,27.33333333,6
Barley,Loamy,6.5,26.65844549,73.34155451,8.535122366,70,60,50,28.21043625,60,27
Soybean,Peaty,5.5,22.2125148,77.7874852,12.82631982,49.5,45,38.5,40.70870051,22.16666667,38
Corn,Sandy,6.75,21.19705528,78.80294472,7.709790478,60,44,30,62.55696578,39.08333333,12
Barley,Sandy,6.75,20.2732921,79.7267079,9.857743461,50,40,30,55.97521177,35,64
Soybean,Clay,6.25,20.45750157,79.54249843,13.28426725,54,50,44,82.16811869,43.16666667,20
Rice,Loamy,6.5,17.35010323,80,8.490730441,91,72,55,28.20628974,72.66666667,28
Barley,Loamy,6.5,26.21081843,73.78918157,16.32497581,70,60,50,39.36536787,60,57
Soybean,Loamy,6.5,17.4758128,80,14.27248484,63,60,55,63.72575572,59.33333333,34
Barley,Peaty,5.5,24.80437044,75.19562956,9.266344239,55,45,35,30.86418423,22.5,50
Barley,Clay,6.25,17.57339386,80,14.12176987,60,50,40,54.15074573,43.75,42
Soybean,Clay,6.25,22.49641032,77.50358968,10.26324078,54,50,44,59.17493987,43.16666667,42
Corn,Loamy,6.5,15.93715703,80,6.30222304,84,66,50,61.76132696,66.66666667,5
Rice,Clay,6.25,22.55381867,77.44618133,6.513296309,78,60,44,68.64382335,53.08333333,46
Barley,Sandy,6.75,23.22402812,76.77597188,17.01464681,50,40,30,38.5213831,35,95
Soybean,Sandy,6.75,15.84466475,80,8.895407608,45,40,33,37.98092972,34.41666667,18
Corn,Sandy,6.75,20.85879736,79.14120264,5.862580625,60,44,30,59.26049423,39.08333333,20
Barley,Peaty,5.5,21.91946309,78.08053691,5.191434565,55,45,35,36.80327701,22.5,13
Corn,Peaty,5.5,24.99141403,75.00858597,7.723690013,66,49.5,35,30.40803932,25.08333333,14
Rice,Sandy,6.75,19.53602257,80,4.791659976,65,48,33,32.04012311,42.58333333,8
Barley,Loamy,6.5,24.89498807,75.10501193,8.641258095,70,60,50,40.74603635,60,35
Soybean,Peaty,5.5,13.31625116,80,14.80341867,49.5,45,38.5,20.21473022,22.16666667,69
Corn,Sandy,6.75,16.1263616,80,7.509269135,60,44,30,40.93122884,39.08333333,91
Corn,Peaty,5.5,23.47142018,76.52857982,9.603288253,66,49.5,35,34.97494645,25.08333333,90
Barley,Loamy,6.5,20.43479313,79.56520687,6.576323965,70,60,50,90.96092382,60,82
Soybean,Clay,6.25,18.876342,80,10.89664489,54,50,44,63.53291957,43.16666667,78
Corn,Peaty,5.5,16.3022874,80,9.763709171,66,49.5,35,40.88781266,25.08333333,17
Barley,Loamy,6.5,22.43336385,77.56663615,9.822571708,70,60,50,83.98974619,60,9
Soybean,Clay,6.25,23.67798527,76.32201473,12.01540343,54,50,44,37.71897213,43.16666667,95
Barley,Peaty,5.5,18.86153959,80,7.840817375,55,45,35,46.55056198,22.5,67
Barley,Sandy,6.75,18.99712342,80,12.91509647,50,40,30,52.99461729,35,29
Corn,Clay,6.25,15.52887493,80,7.134745848,72,55,40,38.39717549,48.70833333,46
Barley,Loamy,6.5,25.46963237,74.53036763,11.59553173,70,60,50,43.02300021,60,89
Corn,Peaty,5.5,21.91534619,78.08465381,5.650298288,66,49.5,35,66.36027696,25.08333333,26
Rice,Loamy,6.5,20.48064598,79.51935402,11.44355311,91,72,55,57.79491079,72.66666667,17
Barley,Sandy,6.75,18.85994148,80,14.52222038,50,40,30,42.45086474,35,7
Soybean,Clay,6.25,19.71643301,80,12.96355554,54,50,44,74.9621323,43.16666667,18
Corn,Peaty,5.5,23.4714232,76.5285768,11.72376952,66,49.5,35,31.5565123,25.08333333,22
Soybean,Peaty,5.5,23.13238443,76.86761557,2.86666171,49.5,45,38.5,40.57549228,22.16666667,10
Corn,Clay,6.25,19.38407954,80,10.10011811,72,55,40,78.8895937,48.70833333,82
Barley,Loamy,6.5,21.70717934,78.29282066,2.757017981,70,60,50,84.35323703,60,22
Soybean,Clay,6.25,28.05777265,71.94222735,10.2211701,54,50,44,16.024654,43.16666667,20
Rice,Peaty,5.5,18.55380685,80,11.81418853,71.5,54,38.5,21.85003287,27.33333333,52
Barley,Loamy,6.5,23.85724233,76.14275767,15.34979252,70,60,50,57.23448786,60,84
Soybean,Clay,6.25,14.83400178,80,6.518919758,54,50,44,38.13868858,43.16666667,3
Corn,Clay,6.25,19.25294265,80,12.79042889,72,55,40,70.64925484,48.70833333,36
Rice,Sandy,6.75,28.26458402,71.73541598,10.93392424,65,48,33,44.48370851,42.58333333,25
Barley,Loamy,6.5,21.18820994,78.81179006,6.121771573,70,60,50,75.1374036,60,88
Corn,Peaty,5.5,25.82007433,74.17992567,12.45028838,66,49.5,35,23.24863206,25.08333333,41
Rice,Loamy,6.5,22.26451193,77.73548807,10.57344421,91,72,55,78.90552309,72.66666667,43
Barley,Clay,6.25,19.87664457,80,3.13155454,60,50,40,75.26755527,43.75,48
Corn,Loamy,6.5,23.2861429,76.7138571,7.570727353,84,66,50,67.3190375,66.66666667,35
Rice,Peaty,5.5,22.84083487,77.15916513,12.54010996,71.5,54,38.5,51.21101524,27.33333333,19
Barley,Sandy,6.75,17.5416263,80,5.546778097,50,40,30,46.12497464,35,60
Soybean,Sandy,6.75,21.04293069,78.95706931,6.453873706,45,40,33,40.34305797,34.41666667,59
Corn,Loamy,6.5,25.64985193,74.35014807,11.13172073,84,66,50,43.07683437,66.66666667,16
Rice,Sandy,6.75,16.85045045,80,13.7931274,65,48,33,13.78508486,42.58333333,27
Barley,Sandy,6.75,16.24142202,80,12.60630357,50,40,30,33.37002647,35,43
Corn,Clay,6.25,24.71016944,75.28983056,12.50881786,72,55,40,35.49909421,48.70833333,30
Rice,Sandy,6.75,21.37234776,78.62765224,7.279947228,65,48,33,41.84337212,42.58333333,43
Soybean,Sandy,6.75,21.49967766,78.50032234,10.8366243,45,40,33,36.43748481,34.41666667,22
Rice,Clay,6.25,28.78137526,71.21862474,8.334406741,78,60,44,46.53240905,53.08333333,9
Soybean,Sandy,6.75,11.81299035,80,7.607340946,45,40,33,11.67494879,34.41666667,43
Corn,Peaty,5.5,24.07616825,75.92383175,2.30613524,66,49.5,35,38.79436069,25.08333333,82
Soybean,Loamy,6.5,27.94482565,72.05517435,12.59311996,63,60,55,17.09545701,59.33333333,69
Corn,Peaty,5.5,17.0675637,80,15.93654942,66,49.5,35,41.75836632,25.08333333,21
Rice,Loamy,6.5,16.63393576,80,5.061323526,91,72,55,19.44998338,72.66666667,5
